Timecode,Month,Day,Hour,0.46[n/ml],0.66[n/ml],0.89[n/ml],1.15[n/ml],1.45[n/ml],1.85[n/ml],2.55[n/ml],3.5[n/ml],4.5[n/ml],5.75[n/ml],7.25[n/ml],9[n/ml],11[n/ml],13[n/ml],15[n/ml],16.5[n/ml],PM1[uq/m3],PM2.5[uq/m3],PM10[uq/m3],avg_DurationSample[s],avg_Flowrate[ml/s],NumberOfSamples,LONG,LAT,tempC,windspeedKmph,precipMM,RelHumidity%,visibility_km,pressure_mb,cloudcover%,HeatIndexC,DewPointC,sigWaveHeight_m,swellHeight_m,waterTempC,totConc(0.38-100um)[n/ml]
8.525537634408602,8,16,7,28918879.214183666,4752572.54844735,2035602.9599704666,517783.426760301,224463.58835060935,387784.01727382763,547949.4652280565,423289.4640922174,398250.57680743234,481899.29975573684,358503.9480407421,389431.9409020215,378614.8045954254,246678.3213503159,138808.12929288115,158683.85126059677,2938904.136637378,4993205.153519595,306179075.9206239,3.0235820895522396,2.860746268656716,67,-7.248533,57.325460,15,11,0.0,88,10,1015,59,15,13,1.0,0.7,15,14379220.47876536
8.526881720430108,8,16,8,14554621.97356706,1422166.6631039162,407260.5106002585,96290.42583533307,74409.76673364047,179956.16735506803,324584.6310174128,301541.4620389951,294563.3694803264,342066.2109830172,258979.85768627634,277308.6504668794,194323.28013260718,127267.58937008989,69388.9431417685,32013.930440359913,1105479.5357361024,1897396.1514966392,216961389.7373242,3.022153846153847,2.8164615384615392,65,-7.248580,57.325510,15,12,0.0,88,10,1015,71,15,13,1.0,0.7,15,5507600.994122052
8.528225806451612,8,16,9,14597429.197423153,1334786.5248834586,322841.0670546689,114813.11209856409,81908.69956573463,202876.7228713772,408461.5549693474,352270.7051290062,422621.1857608985,497672.1337474698,322962.56134662515,407325.84997653717,348982.8566960885,202928.64972042543,108984.19226845975,66030.03137141101,1063661.7809031599,1957480.301618232,302829790.73116994,3.1060526315789483,2.926578947368421,38,-7.248552,57.325470,15,13,0.0,88,10,1014,84,15,13,1.0,0.7,15,6259127.628363231
8.564516129032258,8,17,12,3997693.715572635,615102.6796712145,313148.5143246619,153867.35291251185,60552.89379659746,82490.06060994053,49031.401678144255,22636.90978125199,6935.232166199838,2336.714605887639,1149.1624329607364,1,1,1,1,1,411961.962723469,904282.6169646254,2629684.2906047935,2.9875,3.2178409090909073,88,-7.219027,57.211210,15,8,0.1,87,10,1008,58,15,13,0.7,0.6,15,1719212.88470284
8.565860215053764,8,17,13,3714207.1658858215,517586.93600765994,238688.14786469252,134196.7630868874,60463.20301031864,80336.03767034065,30559.166191031334,5279.652235160194,1432.192009972639,1267.2729300363958,1,1,1,1,1,1,354800.9367681499,824532.0341251253,1402477.4171963865,3.0268354430379754,3.1484810126582268,79,-7.217232,57.159550,16,6,0.1,87,10,1008,67,16,13,0.7,0.6,15,1424610.3077742497
8.56720430107527,8,17,14,2533569.8635801547,326456.4009269254,164412.85005703886,136611.92376273256,57854.95778551092,87709.44141755674,44595.488784875444,21058.100957590228,8370.271560487956,2895.0699036122655,1326.5458404496987,1,1,1,1,1,238758.35309333907,730737.658978228,2542597.973701228,3.0123376623376634,3.085584415584416,77,-7.291976,57.150330,16,5,0.0,86,10,1008,76,16,14,0.6,0.6,15,1090049.4040901193
8.568548387096774,8,17,15,1943361.5087073762,355628.4359028054,284361.78530904447,237279.58014322014,86035.56930223796,137758.1118919508,84865.60323712177,36130.52678741595,16936.91001032413,6037.56641256627,1549.462243633724,1,1,1,1,1,257396.22476623254,1039616.7962946777,4304087.651839551,3.0113157894736853,2.993552631578947,76,-7.297720,57.149050,16,4,0.0,86,10,1008,85,16,14,0.6,0.6,15,1503979.7760065529
8.56989247311828,8,17,16,2194482.9200267564,327358.13965387037,254106.27406404278,201662.90308108032,103420.32581158834,135418.86491451884,114669.07541119245,46848.955661375745,21025.80513612696,12878.39060811394,5006.607377682868,1625.6673364416088,1,1,1,1,254918.74914652453,1027845.6006190537,6974991.123856341,3.0094520547945214,2.9819178082191775,73,-7.297657,57.149050,16,6,0.1,85,8,1007,78,16,13,0.6,0.6,15,1478939.758202559
8.571236559139786,8,17,17,1580606.1674414794,187393.4086299066,127483.01704496564,76934.74115780042,21605.039221934734,36400.2542906943,29781.885262371015,7886.006127619891,10737.994381169454,1,2660.4518511423967,2737.9407400106224,2720.333404062001,1,1,1,156370.55837563454,371956.85279187793,2896187.817258882,3.1105263157894747,3.301315789473685,38,-7.297707,57.149050,16,8,0.1,85,7,1007,72,16,13,0.6,0.6,15,662711.6304873116
8.725806451612902,8,22,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.9688000000000003,4.165,50,-7.311877,56.963130,15,18,3.6,88,7,1000,100,15,13,0.5,0.9,14,1
